arbol	dap	ht
1	 6.0 	 12.6 
2	 6.7 	 13.9 
3	 6.7 	 11.7 
4	 7.0 	 12.8 
5	 6.8 	 13.3 
6	 8.6 	 16.3 
7	 9.0 	 16.4 
8	 8.4 	 15.9 
9	 9.1 	 18.8 
10	 9.0 	 14.9 
11	 11.0 	 20.3 
12	 11.1 	 22.8 
13	 11.3 	 21.9 
14	 11.2 	 23.2 
15	 11.0 	 20.6 
16	 13.9 	 23.9 
17	 13.5 	 20.9 
18	 13.5 	 22.6 
19	 13.5 	 21.9 
20	 14.0 	 21.1 
21	 16.2 	 25.9 
22	 16.0 	 25.2 
23	 16.3 	 26.4 
24	 16.4 	 24.0 
25	 16.1 	 26.8 
26	 18.8 	 27.6 
27	 18.4 	 26.5 
28	 18.6 	 26.4 
29	 19.0 	 27.9 
30	 18.0 	 28.2 
31	 21.2 	 27.1 
32	 21.0 	 28.9 
33	 21.3 	 27.9 
34	 21.0 	 30.4 
35	 20.7 	 28.8 
36	 23.7 	 26.4 
37	 23.4 	 29.6 
38	 23.6 	 29.5 
39	 24.0 	 30.0 
40	 23.9 	 28.0 
